"iso_code","iso_code_2","continent","region","income_level","country","location","date","epi_cases_total","epi_cases_total_100k","epi_cases_last_7_days","epi_cases_last_7_days_100k","epi_cases_last_24_hours","epi_deaths_total","epi_deaths_total_100k","epi_deaths_last_7_days","epi_deaths_last_7_days_100k","epi_deaths_last_24_hours","owd_total_cases","owd_new_cases","owd_new_cases_smoothed","owd_total_deaths","owd_new_deaths","owd_new_deaths_smoothed","owd_total_cases_per_million","owd_new_cases_per_million","owd_new_cases_smoothed_per_million","owd_total_deaths_per_million","owd_new_deaths_per_million","owd_new_deaths_smoothed_per_million","owd_reproduction_rate","owd_icu_patients","owd_icu_patients_per_million","owd_hosp_patients","owd_hosp_patients_per_million","owd_weekly_icu_admissions","owd_weekly_icu_admissions_per_million","owd_weekly_hosp_admissions","owd_weekly_hosp_admissions_per_million","owd_new_tests","owd_total_tests","owd_total_tests_per_thousand","owd_new_tests_per_thousand","owd_new_tests_smoothed","owd_new_tests_smoothed_per_thousand","owd_positive_rate","owd_tests_per_case","owd_tests_units","owd_total_vaccinations","owd_people_vaccinated","owd_people_fully_vaccinated","owd_total_boosters","owd_new_vaccinations","owd_new_vaccinations_smoothed","owd_total_vaccinations_per_hundred","owd_people_vaccinated_per_hundred","owd_people_fully_vaccinated_per_hundred","owd_total_boosters_per_hundred","owd_new_vaccinations_smoothed_per_million","owd_stringency_index","owd_population","owd_population_density","owd_median_age","owd_aged_65_older","owd_aged_70_older","owd_gdp_per_capita","owd_extreme_poverty","owd_cardiovasc_death_rate","owd_diabetes_prevalence","owd_female_smokers","owd_male_smokers","owd_handwashing_facilities","owd_hospital_beds_per_thousand","owd_life_expectancy","owd_human_development_index","owd_excess_mortality_cumulative_absolute","owd_excess_mortality_cumulative","owd_excess_mortality","owd_excess_mortality_cumulative_per_million","imf_covidsurge","imf_procurement","imf_totalsupplies","imf_fullyvacc","imf_delivery_max","imf_delivery_avg","imf_target_delivery","imf_diagnostics","imf_genomic","imf_delta","imf_vaccdelivery_gap","imf_diagnostics_gap","imf_genomic_gap","imf_expectedcoverage","imf_procurement_bilateral","imf_procurement_donation","imf_procurement_covax","imf_procurement_other","imf_expectedcoverage_gap","imf_expectedcoverage_gap_doses","imf_vacc_atleastone","imf_total_admin","imf_ratio_admin","imf_target_delivery_70","imf_procurement_gap_70","imf_procurement_gap_doses_70","imf_amc92","imf_archetype","imf_fullyvacc_population","imf_total_delivery","imf_total_administered","ivb_total_vaccination","ivb_persons_vaccinated_1plus_dose","ivb_total_vaccinations_per100","ivb_persons_vaccinated_1plus_dose_per100","ivb_persons_fully_vaccinated","ivb_persons_fully_vaccinated_per100","ivb_vaccines_used","ivb_first_vaccine_date","ivb_number_vaccines_types_used"
"ETH","ET","Africa","AFRO","LIC","Ethiopia","Ethiopia",11/4/2021 0:00:00,366424.00,318.73,2326.00,2.02,327.00,6509.00,5.66,81.00,0.07,15.00,366424.00,327.00,332.28,6509.00,15.00,11.57,3108.54,2.77,2.81,55.21,0.12,0.09,,,,,,,,,,,,,,,,,,,4984473.00,3634219.00,1350254.00,,40842.00,57073.00,4.23,3.08,1.15,,484.00,,117876226.00,104.95,19.80,3.52,2.06,1729.92,26.70,182.63,7.47,0.40,8.50,7.96,0.30,66.60,0.48,,,,,0.25,33.00,5.40,1.14,0.10,0.05,1.35,0.05,0.07,0.00,1.28,0.94,4.92,20.00,0.00,0.00,30.00,3.00,50.00,117.90,3.07,2.11,39.06,0.56,37.07,87.40,1.00,"2 - Connect",1.35,12.73,4.97,4943631.00,2373175.00,4.30,2.06,2570456.00,2.23,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,SII - Covishield",3/13/2021 0:00:00,4.00
"FIN","FI","Europe","EURO","HIC","Finland","Finland",11/4/2021 0:00:00,162476.00,2940.58,4254.00,76.99,788.00,1185.00,21.44,1.00,0.01,1.00,161688.00,740.00,675.57,1184.00,8.00,4.28,29141.57,133.37,121.76,213.39,1.44,0.77,,,,,,,,,,,,,,,,,,,8140680.00,4237336.00,3903344.00,,12937.00,12994.00,146.72,76.37,70.35,,2342.00,"20.37",5548361.00,18.13,42.80,21.22,13.26,40585.72,,153.50,5.76,18.30,22.60,,3.28,81.91,0.93,,,,,1.79,319.00,84.59,70.34,1.78,0.25,,3.00,12.50,0.00,,,,120.00,0.00,0.00,0.00,319.00,,,76.37,73.36,86.70,,0.00,0.00,0.00,"0 - High Income *",3.90,9.38,8.14,8115707.00,4232021.00,146.90,76.59,3883686.00,70.28,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020 0:00:00,4.00
"FJI","FJ","Oceania","WPRO","UMC","Fiji","Fiji",11/4/2021 0:00:00,52209.00,5824.00,130.00,14.50,0.00,674.00,75.18,1.00,0.11,0.00,52209.00,0.00,18.57,674.00,0.00,0.14,57823.74,0.00,20.56,746.48,0.00,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90.74",902899.00,49.56,28.60,6.22,3.28,8702.97,1.40,412.82,14.49,10.20,34.80,,2.30,67.44,0.74,,,,,0.00,124.00,80.37,62.04,3.13,3.13,,4.09,1.01,0.00,,,3.98,88.00,0.00,94.00,30.00,0.00,,,69.66,65.86,81.94,0.02,0.00,0.00,1.00,"2 - Connect",0.56,1.45,1.18,1186242.00,628246.00,132.32,70.08,557996.00,62.24,"AstraZeneca - Vaxzevria,Moderna - Spikevax,SII - Covishield",3/7/2021 0:00:00,3.00
"FRA","FR","Europe","EURO","HIC","France","France",11/4/2021 0:00:00,6966140.00,10710.65,42244.00,64.95,9283.00,115431.00,177.47,211.00,0.32,45.00,7292220.00,9397.00,6276.42,118804.00,46.00,34.71,107930.15,139.08,92.89,1758.38,0.68,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.67",67564251.00,122.57,42.00,19.71,13.07,38605.67,,86.06,4.77,30.10,35.60,,5.98,82.66,0.90,,,,,0.27,319.00,91.69,68.13,1.02,0.18,,4.23,1.78,98.59,,,3.21,122.00,0.00,0.00,0.00,319.00,,,75.91,73.66,80.33,,0.00,0.00,0.00,"0 - High Income *",46.03,123.91,99.53,96140117.00,51233122.00,142.80,76.10,44906995.00,68.25,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020 0:00:00,4.00
"FSM","FM","Oceania","WPRO","LMC","Micronesia (Federated States of)","Micronesia (country)",11/4/2021 0:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,,,0.00,8.60,0.00,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116255.00,150.77,23.00,4.81,2.39,3299.46,16.00,454.34,12.02,,,,,67.88,0.62,,,,,,32.00,,,,,,,,,,,,0.00,2.00,0.00,30.00,0.00,70.00,0.20,,,,,37.89,0.10,1.00,"1 - Test",,,,74922.00,46078.00,65.13,40.06,40681.00,35.36,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/13/2021 0:00:00,4.00
"GAB","GA","Africa","AFRO","UMC","Gabon","Gabon",11/4/2021 0:00:00,36020.00,1618.34,768.00,34.50,0.00,249.00,11.18,14.00,0.62,0.00,36020.00,0.00,109.71,249.00,0.00,2.00,15806.36,0.00,48.14,109.26,0.00,0.87,,,,,,,,,,"6042","1332203","584.6","2.651","3096","1.359","0.035","28.2","samples tested",232538.00,132383.00,100155.00,,,1420.00,10.20,5.81,4.40,,623.00,,2278829.00,7.85,23.10,4.45,2.97,16562.41,3.40,259.96,7.20,,,,6.30,66.47,0.70,,,,,0.00,64.00,14.89,4.40,0.12,0.05,1.25,1.39,0.87,0.00,1.20,,4.13,25.00,0.00,9.00,14.00,41.00,45.00,2.09,5.80,5.10,34.25,0.55,5.72,0.30,0.00,"3 - Leverage",0.10,0.67,0.23,231955.00,130655.00,10.42,5.87,101300.00,4.55,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",3/23/2021 0:00:00,3.00
"GBR","GB","Europe","EURO","HIC","United Kingdom of Great Britain and Northern Ireland","United Kingdom",11/4/2021 0:00:00,9208223.00,13564.24,272064.00,400.76,36559.00,141395.00,208.28,1189.00,1.75,214.00,9252646.00,36963.00,39171.85,141826.00,219.00,171.14,135655.14,541.92,574.30,2079.34,3.21,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41.2",68207114.00,272.89,40.80,18.51,12.52,39753.24,0.20,122.13,4.28,20.00,24.70,,2.54,81.32,0.93,,,,,1.36,273.00,84.25,67.11,1.10,0.50,,13.67,12.50,100.00,,,,122.00,273.00,0.00,0.00,0.00,,,73.47,76.90,91.27,,0.00,0.00,0.00,"0 - High Income *",45.77,114.92,104.90,103814905.00,49987325.00,152.90,73.44,45595634.00,67.16,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/21/2020 0:00:00,3.00
"GEO","GE","Asia","EURO","UMC","Georgia","Georgia",11/4/2021 0:00:00,743511.00,18638.21,32256.00,808.58,5340.00,10300.00,258.19,339.00,8.49,62.00,738171.00,5206.00,4411.57,10238.00,53.00,45.71,185480.67,1308.11,1108.49,2572.50,13.31,11.48,,,,,,,,,,,,,,,,,,,1995150.00,1046643.00,948507.00,,4649.00,4639.00,50.13,26.30,23.83,,1166.00,,3979773.00,65.03,38.70,14.86,10.24,9745.07,4.20,496.21,7.11,5.30,55.50,,2.60,73.77,0.81,,,,,1.36,58.00,45.13,23.82,0.86,0.11,0.52,16.11,0.05,100.00,0.40,,4.94,47.00,45.00,10.00,2.00,0.00,23.00,1.79,26.29,25.07,55.54,0.37,12.48,1.00,0.00,"3 - Leverage",0.94,3.59,1.99,1836671.00,982288.00,46.00,24.62,854383.00,21.41,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/17/2021 0:00:00,4.00
"GHA","GH","Africa","AFRO","LMC","Ghana","Ghana",11/4/2021 0:00:00,130287.00,419.29,210.00,0.67,0.00,1182.00,3.80,7.00,0.02,0.00,130287.00,0.00,30.00,1182.00,0.00,1.00,4105.83,0.00,0.94,37.24,0.00,0.03,,,,,,,,,,,,,,,,,,,3102396.00,2269003.00,833393.00,,,17519.00,9.78,7.15,2.63,,552.00,,31732128.00,126.71,21.10,3.38,1.94,4227.63,12.00,298.24,4.97,0.30,7.70,41.04,0.90,64.07,0.61,,,,,0.00,86.00,12.76,2.63,0.17,0.11,1.25,0.08,1.25,0.00,1.12,0.92,3.74,26.00,0.00,3.00,30.00,53.00,44.00,27.89,7.15,4.89,38.31,0.55,0.00,0.00,1.00,"4 - Strengthen",0.83,8.09,3.10,2979766.00,2149123.00,9.59,6.91,830643.00,2.67,"Gamaleya - Gam-Covid-Vac,SII - Covishield",3/2/2021 0:00:00,2.00
"GIB","GI","Europe","EURO","","Gibraltar","Gibraltar",11/4/2021 0:00:00,6091.00,18079.01,148.00,439.28,26.00,98.00,290.87,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90718.00,40585.00,39814.00,10319.00,364.00,332.00,269.26,120.46,118.17,30.63,9854.00,,33691.00,3457.10,,,,,,,,,,,,79.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89640.00,40583.00,266.06,120.45,39814.00,118.17,"Pfizer BioNTech - Comirnaty",,1.00
"GIN","GN","Africa","AFRO","LIC","Guinea","Guinea",11/4/2021 0:00:00,30681.00,233.62,28.00,0.21,0.00,385.00,2.93,0.00,0.00,0.00,30681.00,0.00,4.00,385.00,0.00,0.00,2273.13,0.00,0.29,28.52,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13497237.00,51.75,19.00,3.13,1.73,1998.92,35.30,336.71,2.42,,,17.45,0.30,61.60,0.47,,,,,0.00,57.00,21.04,5.53,0.47,0.11,1.12,,0.97,0.00,1.00,,4.03,22.00,1.00,1.00,30.00,25.00,48.00,13.00,11.34,8.43,40.04,0.51,12.80,3.50,1.00,"1 - Test",0.74,5.68,2.27,2363785.00,1529984.00,17.99,11.65,833801.00,6.34,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/5/2021 0:00:00,6.00
"GMB","GM","Africa","AFRO","LIC","Gambia","Gambia",11/4/2021 0:00:00,9973.00,412.67,8.00,0.33,0.00,341.00,14.11,1.00,0.04,0.00,9973.00,0.00,1.42,341.00,0.00,0.14,4010.15,0.00,0.57,137.11,0.00,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2486937.00,207.56,17.50,2.33,1.41,1561.76,10.10,331.43,1.91,0.70,31.20,7.87,1.10,62.05,0.49,,,,,0.00,41.00,9.14,8.86,0.15,0.05,1.10,0.15,8.13,,1.04,0.85,,21.00,0.00,0.00,30.00,11.00,49.00,2.40,9.43,5.34,58.41,0.50,29.28,1.50,1.00,"3 - Leverage",0.22,0.45,0.26,265620.00,234461.00,10.99,9.70,220502.00,9.12,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/10/2021 0:00:00,2.00
"GNB","GW","Africa","AFRO","LIC","Guinea-Bissau","Guinea-Bissau",11/4/2021 0:00:00,6149.00,312.44,16.00,0.81,5.00,143.00,7.26,2.00,0.10,1.00,6149.00,12.00,2.28,143.00,2.00,0.28,3050.87,5.95,1.13,70.95,0.99,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.00,66.19,19.40,3.00,1.56,1548.67,67.10,382.47,2.42,,,6.40,,58.32,0.48,,,,,0.20,56.00,19.39,0.72,0.34,0.18,1.26,0.09,1.82,0.00,1.08,0.91,3.18,22.00,0.00,10.00,30.00,16.00,48.00,1.89,8.30,4.51,23.25,0.55,14.25,0.60,1.00,"1 - Test",0.01,0.78,0.18,181713.00,167199.00,9.23,8.49,14514.00,0.73,"Beijing CNBG - BBIBP-CorV,SII - Covishield",4/2/2021 0:00:00,2.00
"GNQ","GQ","Africa","AFRO","UMC","Equatorial Guinea","Equatorial Guinea",11/4/2021 0:00:00,13407.00,955.60,171.00,12.18,30.00,168.00,11.97,5.00,0.35,1.00,13407.00,30.00,24.42,168.00,1.00,0.71,9246.90,20.69,16.84,115.87,0.69,0.49,,,,,,,,,,"1692","245610","169.399","1.167","646","0.446","0.038","26.4","tests performed",,,,,,,,,,,,,1449891.00,45.19,22.40,2.84,1.75,22604.87,,202.81,7.78,,,24.64,2.10,58.74,0.59,,,,,0.52,28.00,28.28,13.17,0.34,0.05,0.89,0.47,1.54,0.00,0.85,0.52,3.45,27.00,17.00,10.00,0.00,0.00,43.00,1.20,16.70,14.94,52.83,0.46,42.41,1.20,0.00,"2 - Connect",0.19,0.82,0.43,431640.00,241589.00,30.76,17.22,190051.00,13.54,"Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac",2/12/2021 0:00:00,2.00
"GRC","GR","Europe","EURO","HIC","Greece","Greece",11/4/2021 0:00:00,767376.00,7159.31,36209.00,337.81,6784.00,16151.00,150.68,350.00,3.26,42.00,767376.00,6784.00,5172.71,16151.00,42.00,50.00,73994.28,654.14,498.77,1557.36,4.05,4.82,,,,,,,,,,"203058","26945111","2598.184","19.58","204886","19.756","0.025","39.6","samples tested",12824577.00,6679800.00,6399728.00,411424.00,36824.00,27733.00,123.66,64.41,61.71,3.97,2674.00,,10370747.00,83.47,45.30,20.39,14.52,24574.38,1.50,175.69,4.55,35.30,52.00,,4.21,82.24,0.88,,,,,3.08,319.00,97.55,61.70,0.94,0.20,,19.76,1.39,0.00,,,3.59,120.00,0.00,0.00,0.00,319.00,,,64.41,61.83,63.38,0.05,0.00,0.00,0.00,"0 - High Income *",6.39,20.23,12.82,12491203.00,6591992.00,116.50,61.50,5899211.00,59.31,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020 0:00:00,4.00
"GRD","GD","North America","AMRO","UMC","Grenada","Grenada",11/4/2021 0:00:00,5856.00,5204.26,26.00,23.10,6.00,198.00,175.96,1.00,0.88,0.00,5857.00,7.00,3.28,198.00,0.00,0.14,51824.97,61.93,29.07,1751.98,0.00,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015.00,317.13,29.40,7.30,5.02,13593.87,,243.96,10.71,,,,3.70,72.40,0.77,,,,,3.50,43.00,33.88,27.79,0.50,0.31,0.33,,0.20,0.00,0.01,,4.80,40.00,0.00,13.00,30.00,0.00,30.00,0.10,33.81,30.80,90.91,0.33,27.06,0.10,1.00,"2 - Connect",0.03,0.07,0.06,69622.00,38205.00,61.87,33.95,31417.00,27.92,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",2/15/2021 0:00:00,3.00
"GRL","GL","North America","EURO","HIC","Greenland","Greenland",11/4/2021 0:00:00,846.00,1490.17,59.00,103.92,11.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77383.00,40125.00,37258.00,,,35.00,136.07,70.56,65.52,,615.00,,56868.00,0.13,,,,,,199.94,2.16,,,,,71.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77206.00,40121.00,135.99,70.67,37085.00,65.32,"Moderna - mRNA-1273",,1.00
"GTM","GT","North America","AMRO","UMC","Guatemala","Guatemala",11/4/2021 0:00:00,602575.00,3363.41,3533.00,19.72,782.00,15222.00,84.96,924.00,5.15,43.00,603641.00,1066.00,657.00,15281.00,59.00,50.42,33076.45,58.41,36.00,837.32,3.23,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18249868.00,157.83,22.90,4.69,3.01,7423.80,8.70,155.89,10.18,,,76.66,0.60,74.30,0.66,,,,,0.93,57.00,26.04,18.14,0.68,0.18,0.57,0.85,0.15,0.00,0.38,0.15,4.84,30.00,22.00,13.00,21.00,0.00,40.00,14.60,29.45,23.80,91.40,0.38,13.38,4.90,0.00,"1 - Test",3.31,9.50,8.68,8469554.00,5266407.00,47.27,29.39,3203147.00,17.87,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/25/2021 0:00:00,5.00
"GUY","GY","South America","AMRO","UMC","Guyana","Guyana",11/4/2021 0:00:00,35800.00,4551.51,548.00,69.67,81.00,928.00,117.98,28.00,3.56,2.00,35929.00,129.00,82.71,930.00,2.00,3.71,45460.81,163.22,104.65,1176.72,2.53,4.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790329.00,3.95,26.30,5.30,2.83,7435.04,,373.15,11.62,,,77.15,1.60,69.91,0.68,,,,,1.62,112.00,56.70,31.36,0.66,0.20,,,0.03,,,,4.96,62.00,57.00,21.00,30.00,4.00,8.00,0.10,48.58,39.97,70.48,0.25,0.00,0.00,1.00,"2 - Connect",0.24,0.89,0.63,621468.00,380257.00,79.01,48.34,241211.00,30.66,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/11/2021 0:00:00,6.00
"HKG","HK","Asia",,"HIC","China, Hong Kong SAR","Hong Kong",11/4/2021 0:00:00,,,,,,,,,,,12359.00,7.00,3.14,213.00,0.00,0.00,1636.34,0.92,0.41,28.20,0.00,0.00,,,,,,,,,,,,,,,,,,,9070307.00,4631445.00,4438862.00,,8494.00,7496.00,120.09,61.32,58.77,,992.00,,7552800.00,7039.71,44.80,16.30,10.15,56054.92,,,8.33,,,,,84.86,0.94,,,,,0.07,99.00,65.98,58.77,0.87,0.11,,5.97,,,,,,78.00,99.00,0.00,0.00,0.00,,,61.31,60.05,91.00,0.07,0.00,0.00,0.00,"0 - High Income *",4.43,9.96,9.07,,,,,,,,,
"HND","HN","North America","AMRO","LMC","Honduras","Honduras",11/4/2021 0:00:00,375983.00,3796.04,974.00,9.83,106.00,10285.00,103.84,66.00,0.66,11.00,375983.00,0.00,110.00,10284.00,0.00,7.00,37362.93,0.00,10.93,1021.96,0.00,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10062994.00,82.80,24.90,4.65,2.88,4541.79,16.00,240.20,7.21,2.00,,84.16,0.70,75.27,0.63,,,,,0.00,94.00,37.45,29.50,0.82,0.82,0.20,0.21,0.02,0.00,,0.79,4.96,59.00,63.00,1.00,30.00,0.00,11.00,2.20,38.61,34.06,90.91,0.30,0.00,0.00,1.00,"1 - Test",2.96,7.53,6.85,6854692.00,3886595.00,69.20,39.24,2968847.00,29.97,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/26/2021 0:00:00,6.00
"HRV","HR","Europe","EURO","HIC","Croatia","Croatia",11/4/2021 0:00:00,490074.00,12076.24,27592.00,679.91,6932.00,9400.00,231.63,232.00,5.71,36.00,483142.00,6310.00,3578.85,9364.00,32.00,31.71,118369.08,1545.94,876.81,2294.16,7.84,7.77,,,,,,,,,,,,,,"10103","2.475","0.354","2.8","people tested",,,,,,,,,,,,,4081657.00,73.72,44.00,19.72,13.05,22669.79,0.70,253.78,5.59,34.30,39.90,,5.54,78.49,0.85,,,,,1.89,319.00,63.47,44.25,0.94,0.18,,1.98,1.84,0.00,,,3.16,120.00,0.00,0.00,0.00,319.00,,,47.11,44.61,70.29,0.20,0.00,0.00,0.00,"0 - High Income *",1.80,5.18,3.64,3594748.00,1907235.00,88.60,47.10,1683141.00,44.30,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020 0:00:00,4.00
"HTI","HT","North America","AMRO","LMC","Haiti","Haiti",11/4/2021 0:00:00,24073.00,211.12,250.00,2.19,0.00,685.00,6.00,23.00,0.20,0.00,24032.00,28.00,29.85,679.00,2.00,2.42,2082.19,2.42,2.58,58.83,0.17,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11541683.00,398.44,24.30,4.80,2.95,1653.17,23.50,430.54,6.65,2.90,23.10,22.86,0.70,64.00,0.51,,,,,0.20,30.00,1.08,0.34,0.02,0.02,1.40,,0.40,0.00,1.37,,4.59,20.00,0.00,0.00,30.00,0.00,50.00,11.50,0.82,0.59,54.63,0.58,40.00,9.20,1.00,"1 - Test",0.03,0.24,0.13,123502.00,88251.00,1.08,0.77,35933.00,0.31,"Janssen - Ad26.COV 2-S,Moderna - Spikevax",,2.00
"HUN","HU","Europe","EURO","HIC","Hungary","Hungary",11/4/2021 0:00:00,892164.00,9132.11,28745.00,294.23,6804.00,31184.00,319.19,455.00,4.65,83.00,885360.00,6268.00,3711.71,31101.00,107.00,58.42,91897.97,650.60,385.26,3228.20,11.10,6.06,,,,,,,,,,"21499","7047987","731.562","2.232","21529","2.235","0.172","5.8","tests performed",,,,,,,,,,,,,9634162.00,108.04,43.40,18.57,11.97,26777.56,0.50,278.29,7.55,26.80,34.80,,7.02,76.88,0.85,,,,,1.23,355.00,131.08,59.61,1.30,0.21,,2.23,0.05,,,,4.94,142.00,36.00,0.00,0.00,319.00,,,61.88,66.14,50.45,0.07,0.00,0.00,0.00,"0 - High Income *",5.74,25.25,12.74,11434892.00,5902986.00,117.00,60.42,5531906.00,58.31,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/23/2020 0:00:00,7.00
"IDN","ID","Asia","SEARO","LMC","Indonesia","Indonesia",11/4/2021 0:00:00,4246802.00,1552.62,3587.00,1.31,0.00,143500.00,52.46,139.00,0.05,0.00,4246802.00,628.00,610.00,143500.00,19.00,23.85,15366.82,2.27,2.20,519.24,0.06,0.08,,,,,,,,,,,,,,,,,,,199539846.00,122852096.00,76687750.00,,1734903.00,1688528.00,72.20,44.45,27.75,,6110.00,,276361788.00,145.72,29.30,5.31,3.05,11188.74,5.70,342.86,6.32,2.80,76.10,64.20,1.04,71.72,0.71,,,,,0.10,95.00,39.74,27.75,0.91,0.63,0.14,0.85,0.20,100.00,,0.15,4.80,50.00,64.00,1.00,30.00,0.00,20.00,110.50,44.45,36.10,90.83,0.28,0.00,0.00,1.00,"4 - Strengthen",76.69,219.65,199.53,196582295.00,121365081.00,71.87,44.37,75217214.00,27.49,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/13/2021 0:00:00,6.00
"IND","IN","Asia","SEARO","LMC","India","India",11/4/2021 0:00:00,34333754.00,2487.94,87597.00,6.34,12729.00,459873.00,33.32,2682.00,0.19,221.00,34333754.00,12729.00,12513.85,459873.00,221.00,383.14,24640.11,9.13,8.98,330.03,0.15,0.27,,,,,,,,,,"1067914","612346767","439.459","0.766","1121195","0.805","0.011","89.6","samples tested",1077107323.00,739357801.00,337749522.00,,2047902.00,4949827.00,77.30,53.06,24.24,,3552.00,,1393409033.00,450.41,28.20,5.98,3.41,6426.67,21.20,282.28,10.39,1.90,20.60,59.55,0.53,69.66,0.64,,,,,0.15,90.00,38.36,24.23,0.91,0.40,0.05,0.80,0.21,60.00,,0.20,4.78,57.00,80.00,0.00,11.00,0.00,13.00,362.29,53.06,38.37,100.00,0.25,0.00,0.00,1.00,"4 - Strengthen",337.76,1069.30,1069.30,1068571879.00,734600366.00,77.43,53.23,333971513.00,24.20,"Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,SII - Covishield",1/16/2021 0:00:00,5.00
"IRL","IE","Europe","EURO","HIC","Ireland","Ireland",11/4/2021 0:00:00,458370.00,9233.06,20246.00,407.82,3024.00,5492.00,110.62,56.00,1.12,0.00,458370.00,3024.00,2892.28,5492.00,0.00,8.00,91988.52,606.87,580.44,1102.16,0.00,1.60,,,,,,,,,,"27585","8224598","1650.563","5.536","24575","4.932","0.118","8.5","tests performed",,,,,,,,,,,,,4982904.00,69.87,38.70,13.92,8.67,67335.29,0.20,126.45,3.28,23.00,25.70,,2.96,82.30,0.95,,,,,2.96,319.00,92.00,75.34,1.12,0.05,,4.46,8.36,99.59,,,,121.00,0.00,0.00,0.00,319.00,,,76.65,73.63,80.02,,0.00,0.00,0.00,"0 - High Income *",3.75,9.16,7.33,7331182.00,3815730.00,147.70,76.86,3515452.00,75.57,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020 0:00:00,4.00
